OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_2	66751	165458	184998	255334	280709	100206	90566	86430	357052	68941	478138	210438	340312	92710	278344	201508	183585	180142	209493	130311	115146	160656	273249	269970	210957	157350	212507	195586	147171	49796	150179	169357	136653	103276	94307	241153	160488	129619	63894	141595	166334	38607	107458	127133	220433	118096	101116	139635
ASV_195	0	2146	880	0	475341	0	0	0	2652	0	8969	166512	0	4916	8463	0	1103	2212	939	3657	0	8559	0	0	0	914	25587	0	6273	0	0	1150	0	1186	0	0	336	0	5208	0	3513	0	0	0	0	0	0	0
ASV_210	29045	0	11659	0	0	0	0	5702	12101	62018	18247	0	0	0	0	69934	0	3418	0	473894	26830	0	3171	8705	0	0	6114	0	24287	93134	0	2012	39165	0	0	3037	0	402	954	5850	0	2448	0	0	0	3553	2668	0
ASV_21	2376	21365	26397	80086	19189	85684	21692	23712	22544	3532	60618	19001	13454	84633	31603	81141	55461	58305	44988	8469	0	78099	107128	20059	69630	13557	9623	24766	4182	90981	53365	433776	5819	138657	46040	4681	404411	11089	19146	163617	78861	6096	7605	22073	163544	6255	3300	103434
ASV_11	61616	4780	49054	88001	341018	19606	322676	25793	15747	114148	0	241289	23285	188581	9256	137402	293516	81627	91334	259660	3589	177952	118658	150628	122484	145316	196770	126533	66589	40612	112083	21771	424802	59297	73070	156636	23295	24936	98226	156735	110701	110787	50505	222017	76373	28373	40236	86702
ASV_24	2146	24292	27717	55212	21382	106741	20066	23531	31661	0	49175	17979	10349	75152	32661	80917	44435	56696	52086	9624	1471	92899	89257	23339	70894	12643	12227	27158	7560	83806	56041	424147	5362	132727	43069	4302	372941	9997	23915	127831	82034	5911	5125	18490	137643	6856	2949	99783
ASV_289	0	0	0	0	86077	0	0	0	0	0	0	422102	0	24582	0	0	0	10254	16179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7556	19785	55634	0	0	0	8216	0	0	56052
ASV_57	4905	0	11879	3203	6579	0	418122	0	0	10595	96803	4290	63129	0	60958	283770	65716	0	0	0	9885	0	2594	0	0	39223	0	17360	0	0	0	0	20073	3657	59183	0	0	10859	0	34581	78861	22074	3802	29669	26371	6055	2317	46393
ASV_9	78476	64291	59063	126065	173798	64626	236448	20635	234553	160061	154019	126671	103491	160487	160924	156454	274330	94293	131103	189789	34832	92364	214256	113034	73996	86977	282814	64964	152398	84954	70918	39735	417740	86377	119926	233182	50733	36139	95585	183058	138121	56941	72162	261863	88658	39632	64743	114233
ASV_125	0	0	0	10741	409002	0	0	0	0	0	0	236998	13971	18261	0	0	0	30359	24738	0	3060	0	14892	0	0	0	0	0	2413	15068	0	12215	0	11662	0	0	16463	0	8289	14624	2719	0	0	0	7825	0	0	2053
